Institution,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,RBI2out
California Baptist,WAC,37,0.324,0.413,313,"1,308",424,91,4,694,57,286,165,43,14,20,306,26,15,1,37,4,
Campbell,Big South,40,0.285,0.391,326,"1,369",390,80,14,708,70,300,181,68,16,18,337,21,19,5,83,5,
Canisius,MAAC,36,0.29,0.393,267,"1,302",377,65,13,567,33,233,182,45,9,5,331,19,7,5,46,3,
Central Ark.,ASUN,39,0.257,0.369,211,"1,273",327,57,7,485,29,195,165,72,20,31,301,28,14,3,51,3,
Central Conn. St.,NEC,30,0.284,0.384,211,"1,066",303,63,6,444,22,191,156,24,11,9,221,15,6,1,19,2,
Central Mich.,MAC,38,0.3,0.427,304,"1,220",366,92,8,546,24,274,228,60,23,26,309,21,10,4,61,3,
Charleston So.,Big South,40,0.277,0.39,274,"1,282",355,76,2,549,38,238,178,75,25,16,269,22,20,5,45,4,
Charlotte,C-USA,41,0.286,0.41,314,"1,407",403,60,7,654,59,288,255,49,14,7,343,24,16,4,58,2,
Cincinnati,AAC,38,0.28,0.379,278,"1,304",365,74,12,637,58,247,196,20,15,11,365,18,23,5,53,3,
Clemson,ACC,42,0.28,0.387,322,"1,467",411,70,5,695,68,290,219,50,19,10,419,25,1,3,23,7,
Coastal Carolina,Sun Belt,38,0.277,0.384,275,"1,251",346,65,8,565,46,243,189,46,26,26,292,29,21,5,61,,
Col. of Charleston,CAA,40,0.271,0.356,253,"1,343",364,68,11,565,37,222,164,24,18,19,283,18,24,4,66,1,
Columbia,Ivy League,36,0.303,0.385,301,"1,273",386,87,11,651,52,265,147,34,20,4,288,18,16,5,63,3,
Coppin St.,MEAC,42,0.277,0.401,289,"1,327",367,68,19,545,24,243,224,63,17,24,283,20,22,8,104,,
Cornell,Ivy League,29,0.251,0.353,180,"1,005",252,51,12,405,26,155,140,25,12,7,336,19,9,4,42,1,
Creighton,Big East,34,0.266,0.386,226,"1,139",303,73,8,467,25,203,170,64,19,15,302,17,16,4,33,6,
CSU Bakersfield,Big West,37,0.262,0.36,195,"1,242",325,64,4,463,22,178,163,36,16,15,289,38,16,5,12,6,
